timestamp,armed,prearmed,ready_to_arm,lockdown,kill,termination,in_esc_calibration_mode
1777225992369000,1,0,1,0,0,0,0
1777225992873000,1,0,1,0,0,0,0
1777225993377000,1,0,1,0,0,0,0
1777225993881000,1,0,1,0,0,0,0
1777225994385000,1,0,1,0,0,0,0
1777225994889000,1,0,1,0,0,0,0
1777225995393000,1,0,1,0,0,0,0
1777225995897000,1,0,1,0,0,0,0
1777225996401000,1,0,1,0,0,0,0
1777225996905000,1,0,1,0,0,0,0
1777225997413000,1,0,1,0,0,0,0
1777225997917000,1,0,1,0,0,0,0
1777225998421000,1,0,1,0,0,0,0
1777225998925000,1,0,1,0,0,0,0
1777225999429000,1,0,1,0,0,0,0
1777225999933000,1,0,1,0,0,0,0
1777226000437000,1,0,1,0,0,0,0
1777226000941000,1,0,1,0,0,0,0
1777226001445000,1,0,1,0,0,0,0
1777226001949000,1,0,1,0,0,0,0
1777226002457000,1,0,1,0,0,0,0
1777226002961000,1,0,1,0,0,0,0
1777226003465000,1,0,1,0,0,0,0
1777226003969000,1,0,1,0,0,0,0
1777226004473000,1,0,1,0,0,0,0
1777226004977000,1,0,1,0,0,0,0
1777226005481000,1,0,1,0,0,0,0
1777226005985000,1,0,1,0,0,0,0
1777226006489000,1,0,1,0,0,0,0
1777226006993000,1,0,1,0,0,0,0
1777226007497000,1,0,1,0,0,0,0
1777226008005000,1,0,1,0,0,0,0
1777226008509000,1,0,1,0,0,0,0
1777226009013000,1,0,1,0,0,0,0
1777226009517000,1,0,1,0,0,0,0
1777226010021000,1,0,1,0,0,0,0
1777226010525000,1,0,1,0,0,0,0
1777226011029000,1,0,1,0,0,0,0
1777226011533000,1,0,1,0,0,0,0
1777226012037000,1,0,1,0,0,0,0
1777226012541000,1,0,1,0,0,0,0
1777226013045000,1,0,1,0,0,0,0
1777226013549000,1,0,1,0,0,0,0
1777226014053000,1,0,1,0,0,0,0
1777226014557000,1,0,1,0,0,0,0
1777226015061000,1,0,1,0,0,0,0
1777226015565000,1,0,1,0,0,0,0
1777226016069000,1,0,1,0,0,0,0
1777226016573000,1,0,1,0,0,0,0
1777226017077000,1,0,1,0,0,0,0
1777226017581000,1,0,1,0,0,0,0
1777226018085000,1,0,1,0,0,0,0
1777226018589000,1,0,1,0,0,0,0
1777226019093000,1,0,1,0,0,0,0
1777226019597000,1,0,1,0,0,0,0
1777226020101000,1,0,1,0,0,0,0
1777226020605000,1,0,1,0,0,0,0
1777226021109000,1,0,1,0,0,0,0
1777226021613000,1,0,1,0,0,0,0
1777226022117000,1,0,1,0,0,0,0
1777226022621000,1,0,1,0,0,0,0
1777226023125000,1,0,1,0,0,0,0
1777226023629000,1,0,1,0,0,0,0
1777226024133000,1,0,1,0,0,0,0
1777226024637000,1,0,1,0,0,0,0
1777226025141000,1,0,1,0,0,0,0
1777226025645000,1,0,1,0,0,0,0
1777226025697000,1,0,1,0,0,0,0
1777226025709000,1,0,1,0,0,0,0
1777226025721000,1,0,1,0,0,0,0
1777226025985000,1,0,1,0,0,0,0
1777226026489000,1,0,1,0,0,0,0
1777226026993000,1,0,1,0,0,0,0
1777226027501000,1,0,1,0,0,0,0
1777226028005000,1,0,1,0,0,0,0
1777226028509000,1,0,1,0,0,0,0
1777226029013000,1,0,1,0,0,0,0
1777226029517000,1,0,1,0,0,0,0
1777226030021000,1,0,1,0,0,0,0
1777226030525000,1,0,1,0,0,0,0
1777226030717000,1,0,1,0,0,0,0
1777226030981000,1,0,1,0,0,0,0
1777226031485000,1,0,1,0,0,0,0
1777226031989000,1,0,1,0,0,0,0
1777226032493000,1,0,1,0,0,0,0
1777226032997000,1,0,1,0,0,0,0
1777226033501000,1,0,1,0,0,0,0
1777226034005000,1,0,1,0,0,0,0
1777226034509000,1,0,1,0,0,0,0
1777226035013000,1,0,1,0,0,0,0
1777226035517000,1,0,1,0,0,0,0
1777226036021000,1,0,1,0,0,0,0
1777226036525000,1,0,1,0,0,0,0
1777226037029000,1,0,1,0,0,0,0
1777226037533000,1,0,1,0,0,0,0
1777226038037000,1,0,1,0,0,0,0
1777226038541000,1,0,1,0,0,0,0
1777226039045000,1,0,1,0,0,0,0
1777226039549000,1,0,1,0,0,0,0
1777226040053000,1,0,1,0,0,0,0
1777226040557000,1,0,1,0,0,0,0
1777226041061000,1,0,1,0,0,0,0
1777226041565000,1,0,1,0,0,0,0
1777226042069000,1,0,1,0,0,0,0
1777226042273000,1,0,1,0,0,0,0
1777226042777000,1,0,1,0,0,0,0
1777226043281000,1,0,1,0,0,0,0
1777226043785000,1,0,1,0,0,0,0
1777226044293000,1,0,1,0,0,0,0
1777226044797000,1,0,1,0,0,0,0
1777226045301000,1,0,1,0,0,0,0
1777226045805000,1,0,1,0,0,0,0
1777226046305000,1,0,1,0,0,0,0
1777226046809000,1,0,1,0,0,0,0
1777226047313000,1,0,1,0,0,0,0
1777226047817000,1,0,1,0,0,0,0
